epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4624.66,0.47488,0.63912,1.01882,0.90691,0.51692,0.77895,0.67444,0.62478,0.51927,0.78353,0.6837,0.61199,0.38055,0.54178,0.97734,0.88735,0.0067825,0.0067825,0.0067825
41,4764.11,0.46229,0.61621,1.01408,0.90578,0.53475,0.77198,0.66764,0.62244,0.53823,0.77713,0.67567,0.61263,0.37593,0.56662,0.95161,0.89045,0.0067,0.0067,0.0067
42,4866.15,0.45503,0.62229,1.00188,0.89869,0.51968,0.80696,0.67494,0.62823,0.52378,0.81339,0.68512,0.62292,0.37926,0.53725,0.96036,0.88918,0.0066175,0.0066175,0.0066175
43,4969.35,0.47036,0.63012,1.00094,0.91538,0.6065,0.71598,0.68366,0.63126,0.61123,0.72031,0.69264,0.63099,0.38048,0.54513,0.93974,0.88644,0.006535,0.006535,0.006535
44,5071.56,0.45765,0.59834,1.0006,0.9009,0.60281,0.72457,0.68954,0.64116,0.61081,0.72922,0.70094,0.63163,0.36759,0.52743,0.92306,0.88209,0.0064525,0.0064525,0.0064525
45,5179.85,0.45386,0.63604,0.98855,0.89874,0.59746,0.75569,0.68245,0.63567,0.6011,0.7649,0.69193,0.62892,0.36259,0.54117,0.90701,0.87665,0.00637,0.00637,0.00637
46,5301.47,0.46867,0.64358,0.99267,0.90703,0.60474,0.75152,0.70681,0.65907,0.60938,0.7591,0.71653,0.64997,0.36984,0.53613,0.87425,0.88502,0.0062875,0.0062875,0.0062875
47,5414.18,0.45962,0.62215,1.00746,0.90248,0.51821,0.73865,0.64822,0.60134,0.52555,0.73502,0.65736,0.59578,0.37241,0.53526,1.01154,0.87952,0.006205,0.006205,0.006205
48,5516.8,0.47653,0.63841,1.01351,0.91093,0.62613,0.72632,0.71971,0.6655,0.63042,0.73125,0.73044,0.66103,0.38693,0.53485,0.89118,0.8902,0.0061225,0.0061225,0.0061225
49,5637.32,0.44704,0.62784,0.9967,0.89664,0.59327,0.7355,0.68651,0.64187,0.5986,0.73941,0.69759,0.63415,0.37721,0.52522,0.91806,0.89123,0.00604,0.00604,0.00604
50,5748.82,0.44303,0.60245,0.98871,0.89823,0.58613,0.7559,0.70222,0.65672,0.58937,0.76019,0.71128,0.64242,0.35548,0.52146,0.89396,0.87916,0.0059575,0.0059575,0.0059575
51,5851.06,0.44525,0.61482,0.9871,0.90406,0.59678,0.75518,0.70768,0.66317,0.60078,0.7634,0.71645,0.65524,0.36744,0.52297,0.86883,0.88403,0.005875,0.005875,0.005875
52,5972.43,0.44435,0.60037,0.97825,0.89837,0.62052,0.73098,0.71047,0.66559,0.62454,0.7357,0.72125,0.65785,0.36063,0.53039,0.90591,0.88738,0.0057925,0.0057925,0.0057925
53,6074.38,0.43261,0.5968,0.98979,0.89172,0.59293,0.75863,0.71435,0.66758,0.59644,0.76313,0.7235,0.66394,0.34936,0.52765,0.8667,0.87511,0.00571,0.00571,0.00571
54,6177.79,0.44082,0.58783,0.99048,0.89769,0.60583,0.77074,0.71513,0.6681,0.61196,0.77589,0.72513,0.66187,0.34975,0.50855,0.91698,0.87612,0.0056275,0.0056275,0.0056275
55,6280.02,0.43277,0.56525,0.96789,0.89228,0.61351,0.75075,0.71952,0.67281,0.63239,0.73115,0.72983,0.66334,0.34606,0.52119,0.86784,0.87766,0.005545,0.005545,0.005545
56,6387.09,0.4513,0.59922,0.99431,0.89858,0.60968,0.74307,0.70356,0.65568,0.6159,0.74748,0.71456,0.6489,0.36948,0.51521,0.88921,0.88358,0.0054625,0.0054625,0.0054625
57,6490.17,0.43825,0.59565,0.97451,0.89467,0.61127,0.74451,0.71817,0.67318,0.61606,0.7503,0.72877,0.66988,0.35998,0.50153,0.86136,0.8895,0.00538,0.00538,0.00538
58,6608.71,0.43335,0.57732,0.96773,0.88943,0.60191,0.7567,0.71766,0.67438,0.6053,0.76248,0.72712,0.65985,0.35063,0.553,0.85283,0.87903,0.0052975,0.0052975,0.0052975
59,6734.66,0.43913,0.595,0.96216,0.89384,0.61987,0.74925,0.72599,0.68093,0.6249,0.75525,0.73803,0.67153,0.35142,0.51216,0.86226,0.8765,0.005215,0.005215,0.005215
60,6855.1,0.43149,0.60214,0.94528,0.89494,0.62644,0.73116,0.71034,0.66487,0.63177,0.73737,0.72103,0.65573,0.3497,0.50306,0.9155,0.8857,0.0051325,0.0051325,0.0051325
61,6957.57,0.44208,0.59186,0.97417,0.89831,0.62108,0.75128,0.72898,0.68121,0.62931,0.75371,0.73994,0.67419,0.3518,0.50042,0.84421,0.88666,0.00505,0.00505,0.00505
62,7059.79,0.42885,0.58744,0.97418,0.89365,0.61877,0.76282,0.7283,0.68096,0.62512,0.76857,0.73964,0.67684,0.35208,0.48657,0.88302,0.87772,0.0049675,0.0049675,0.0049675
63,7198.72,0.42152,0.59192,0.9467,0.88743,0.6063,0.75735,0.70393,0.65888,0.61198,0.76421,0.71352,0.65348,0.35544,0.51076,0.89138,0.88277,0.004885,0.004885,0.004885
64,7301.44,0.42457,0.59453,0.96217,0.8865,0.6354,0.73318,0.71169,0.66613,0.64237,0.73835,0.7212,0.65927,0.34187,0.52101,0.85203,0.87473,0.0048025,0.0048025,0.0048025
65,7403.79,0.41979,0.56494,0.94395,0.8893,0.62607,0.73329,0.72373,0.6817,0.63139,0.73951,0.73395,0.6708,0.34374,0.49378,0.85432,0.88064,0.00472,0.00472,0.00472
66,7506.2,0.41209,0.55389,0.94496,0.88592,0.60227,0.7606,0.68172,0.63887,0.61035,0.7624,0.68983,0.62931,0.32786,0.50011,0.86431,0.86873,0.0046375,0.0046375,0.0046375
67,7633.48,0.42043,0.55817,0.93584,0.8845,0.6335,0.74597,0.71809,0.67233,0.63898,0.7524,0.72815,0.66461,0.33782,0.51564,0.84286,0.87207,0.004555,0.004555,0.004555
68,7735.47,0.41523,0.58686,0.94922,0.88535,0.65181,0.73345,0.72245,0.67877,0.65666,0.73881,0.73119,0.67209,0.33806,0.51658,0.883,0.86752,0.0044725,0.0044725,0.0044725
69,7837.84,0.41237,0.55987,0.9343,0.88713,0.61337,0.75211,0.73088,0.69016,0.61848,0.75713,0.74046,0.68423,0.32832,0.49015,0.84364,0.87039,0.00439,0.00439,0.00439
70,7958.27,0.40863,0.5554,0.92778,0.88725,0.63886,0.73926,0.7201,0.68002,0.64368,0.74483,0.72964,0.66941,0.32271,0.49945,0.82736,0.86694,0.0043075,0.0043075,0.0043075
71,8060.37,0.40203,0.55119,0.93113,0.88064,0.60174,0.75598,0.7276,0.68798,0.60606,0.76134,0.73704,0.67843,0.33026,0.47951,0.83041,0.87008,0.004225,0.004225,0.004225
72,8162.66,0.40972,0.54505,0.94963,0.88914,0.62011,0.74195,0.73802,0.69423,0.62347,0.74602,0.74688,0.68329,0.31801,0.49936,0.8308,0.86105,0.0041425,0.0041425,0.0041425
73,8276.4,0.4114,0.56765,0.93004,0.88739,0.62822,0.74435,0.73016,0.68476,0.63367,0.75078,0.73962,0.67732,0.33506,0.5,0.85586,0.86916,0.00406,0.00406,0.00406
74,8378.97,0.40829,0.56486,0.92662,0.88388,0.64246,0.74037,0.72996,0.68736,0.65102,0.73973,0.73969,0.6789,0.32589,0.5083,0.82772,0.86872,0.0039775,0.0039775,0.0039775
75,8499.77,0.40783,0.55912,0.92662,0.88285,0.58835,0.76977,0.71525,0.67024,0.59409,0.77442,0.72363,0.66601,0.33162,0.48507,0.911,0.87635,0.003895,0.003895,0.003895
76,8610.77,0.38784,0.53323,0.91933,0.87565,0.63268,0.72371,0.72549,0.67855,0.64308,0.72301,0.73395,0.66994,0.32596,0.48601,0.86374,0.86663,0.0038125,0.0038125,0.0038125
77,8712.83,0.40133,0.54921,0.91063,0.87839,0.63118,0.72058,0.72166,0.68024,0.6375,0.72607,0.73061,0.66842,0.32764,0.49771,0.86453,0.87471,0.00373,0.00373,0.00373
78,8833.3,0.40454,0.55142,0.91643,0.87795,0.62198,0.75352,0.73623,0.69022,0.62773,0.75723,0.74487,0.68537,0.32693,0.48995,0.81523,0.86807,0.0036475,0.0036475,0.0036475
79,8935.22,0.39857,0.52366,0.89769,0.87823,0.68761,0.73399,0.75034,0.70722,0.69278,0.73957,0.75807,0.69362,0.32106,0.47054,0.81221,0.86638,0.003565,0.003565,0.003565
80,9038.06,0.38478,0.51323,0.91091,0.87256,0.60951,0.73821,0.71708,0.6769,0.61553,0.74549,0.7274,0.66709,0.31762,0.47604,0.84947,0.86811,0.0034825,0.0034825,0.0034825
81,9141.47,0.38575,0.52807,0.89165,0.87645,0.64603,0.7312,0.73193,0.68781,0.65301,0.73528,0.7411,0.67958,0.33429,0.48133,0.83707,0.86974,0.0034,0.0034,0.0034
82,9252.11,0.39062,0.53404,0.91498,0.87726,0.64298,0.7441,0.73602,0.69326,0.64896,0.75074,0.74698,0.68429,0.31515,0.49173,0.84574,0.87003,0.0033175,0.0033175,0.0033175
83,9354.59,0.37238,0.50423,0.8888,0.87535,0.66522,0.72909,0.74084,0.69844,0.66611,0.74503,0.75064,0.68975,0.31052,0.46757,0.8281,0.86155,0.003235,0.003235,0.003235
84,9474.31,0.3813,0.51405,0.89323,0.87815,0.63647,0.75549,0.73789,0.69708,0.64211,0.76214,0.74786,0.68585,0.31185,0.45882,0.81195,0.86261,0.0031525,0.0031525,0.0031525
85,9576.73,0.37323,0.52393,0.88735,0.86979,0.62436,0.75635,0.75315,0.71271,0.6295,0.76082,0.76242,0.70427,0.3142,0.46513,0.78983,0.86238,0.00307,0.00307,0.00307
86,9680.33,0.38422,0.51565,0.91184,0.87409,0.65,0.75677,0.72947,0.68624,0.65391,0.76128,0.73733,0.67815,0.31621,0.48264,0.8486,0.86323,0.0029875,0.0029875,0.0029875
87,9792.23,0.38349,0.50231,0.89658,0.87355,0.64609,0.72924,0.72573,0.68069,0.64979,0.73656,0.73426,0.67055,0.31861,0.46809,0.83823,0.8636,0.002905,0.002905,0.002905
88,9894.41,0.37671,0.52744,0.88091,0.86993,0.66139,0.74699,0.75382,0.70916,0.6679,0.75428,0.76401,0.69806,0.31399,0.47332,0.80024,0.86595,0.0028225,0.0028225,0.0028225
89,10015.4,0.37483,0.52193,0.89099,0.87066,0.59986,0.76233,0.72383,0.68465,0.60384,0.76619,0.73146,0.67397,0.30545,0.46101,0.82896,0.86213,0.00274,0.00274,0.00274
90,10118.3,0.37068,0.50401,0.89798,0.87139,0.666,0.76121,0.74729,0.70462,0.67333,0.76632,0.75636,0.69371,0.31413,0.46255,0.81579,0.86526,0.0026575,0.0026575,0.0026575
91,10221.3,0.37487,0.5096,0.88426,0.87317,0.64562,0.75179,0.75412,0.71259,0.65206,0.75729,0.76196,0.70373,0.30581,0.45394,0.78295,0.86202,0.002575,0.002575,0.002575
92,10334.1,0.36802,0.50343,0.86028,0.87027,0.67924,0.7349,0.76037,0.72133,0.68523,0.74133,0.76983,0.7077,0.2987,0.46428,0.77919,0.85793,0.0024925,0.0024925,0.0024925
93,10440.9,0.36687,0.49922,0.86756,0.8706,0.64471,0.74696,0.74072,0.69988,0.65204,0.75346,0.75101,0.68686,0.3038,0.45347,0.81841,0.8565,0.00241,0.00241,0.00241
94,10543.9,0.3693,0.52136,0.8786,0.8691,0.64955,0.7553,0.73955,0.69775,0.65434,0.76006,0.74758,0.68734,0.3033,0.45948,0.81565,0.8545,0.0023275,0.0023275,0.0023275
95,10649.1,0.35957,0.51348,0.85926,0.86677,0.64856,0.75129,0.75644,0.7147,0.65476,0.75611,0.7654,0.70385,0.30609,0.48042,0.7914,0.86575,0.002245,0.002245,0.002245
96,10752.7,0.35928,0.4971,0.84818,0.87067,0.63846,0.77002,0.75567,0.71697,0.64218,0.77452,0.76426,0.70472,0.29489,0.45676,0.77633,0.85803,0.0021625,0.0021625,0.0021625
97,10854.5,0.34759,0.44286,0.8397,0.86269,0.66798,0.74969,0.75213,0.71149,0.67425,0.75437,0.7612,0.70392,0.29901,0.4527,0.7949,0.85802,0.00208,0.00208,0.00208
98,10956.9,0.36016,0.48582,0.86602,0.86664,0.63797,0.76806,0.75587,0.71523,0.64344,0.77471,0.76646,0.70812,0.30949,0.4692,0.7764,0.86024,0.0019975,0.0019975,0.0019975
99,11068.9,0.34691,0.46727,0.8504,0.86104,0.67183,0.747,0.74758,0.7075,0.67674,0.75409,0.75472,0.69644,0.30021,0.46074,0.77956,0.86044,0.001915,0.001915,0.001915
100,11214.7,0.35282,0.4896,0.8409,0.86233,0.6573,0.75485,0.76597,0.72811,0.6656,0.7593,0.77579,0.71628,0.28767,0.44827,0.74874,0.8527,0.0018325,0.0018325,0.0018325
101,11336.8,0.3533,0.50171,0.84081,0.86439,0.64965,0.77893,0.74543,0.7058,0.65626,0.78644,0.75496,0.69667,0.28971,0.45586,0.82377,0.85227,0.00175,0.00175,0.00175
102,11439,0.34229,0.47211,0.84094,0.85914,0.62053,0.79308,0.75724,0.71906,0.62486,0.79866,0.76607,0.70884,0.291,0.44975,0.76298,0.85638,0.0016675,0.0016675,0.0016675
103,11579.6,0.34615,0.48949,0.82911,0.86016,0.69789,0.72248,0.76275,0.724,0.70457,0.72728,0.77257,0.71062,0.29063,0.44507,0.76605,0.85669,0.001585,0.001585,0.001585
104,11682,0.34408,0.47203,0.83938,0.85773,0.65681,0.75882,0.75134,0.7106,0.66437,0.76159,0.76148,0.69899,0.28975,0.44066,0.79316,0.85452,0.0015025,0.0015025,0.0015025
105,11784.4,0.34447,0.48116,0.83184,0.86012,0.64065,0.77594,0.75246,0.71291,0.64545,0.78173,0.76101,0.7025,0.28679,0.44636,0.76868,0.85421,0.00142,0.00142,0.00142
106,11899.5,0.33036,0.464,0.82456,0.8567,0.66729,0.76878,0.76301,0.72408,0.67283,0.7738,0.77327,0.71146,0.28814,0.44321,0.76252,0.85201,0.0013375,0.0013375,0.0013375
107,12020.2,0.33561,0.46758,0.81436,0.8564,0.64113,0.76705,0.75561,0.71695,0.64559,0.77241,0.76255,0.70606,0.28175,0.43951,0.76271,0.84944,0.001255,0.001255,0.001255
108,12143.7,0.34291,0.49023,0.8358,0.85612,0.62914,0.78681,0.75508,0.71856,0.63388,0.79281,0.76339,0.70607,0.28129,0.44467,0.75965,0.85042,0.0011725,0.0011725,0.0011725
109,12246.4,0.32528,0.45217,0.80921,0.85505,0.68716,0.74256,0.76641,0.73012,0.69313,0.749,0.77577,0.71565,0.27775,0.44989,0.75487,0.84928,0.00109,0.00109,0.00109
110,12348.9,0.32394,0.4406,0.81182,0.856,0.66451,0.76715,0.76637,0.73053,0.66951,0.77406,0.77562,0.71639,0.27362,0.43323,0.74282,0.8477,0.0010075,0.0010075,0.0010075
111,12482.3,0.30132,0.45367,0.78959,0.84253,0.66975,0.74229,0.76371,0.72602,0.67134,0.75734,0.77415,0.71299,0.28086,0.45421,0.75134,0.85194,0.000925,0.000925,0.000925
112,12601,0.29891,0.42274,0.77724,0.83641,0.66709,0.75864,0.76602,0.72856,0.67034,0.76439,0.77398,0.7169,0.27703,0.44351,0.74175,0.84842,0.0008425,0.0008425,0.0008425
113,12726.5,0.29657,0.42454,0.76135,0.83842,0.65804,0.77375,0.76815,0.73218,0.66338,0.77896,0.77672,0.71884,0.27384,0.43363,0.73585,0.84744,0.00076,0.00076,0.00076
114,12835.9,0.29692,0.41523,0.75227,0.83653,0.65222,0.78413,0.77209,0.73413,0.65831,0.78994,0.78148,0.72115,0.27619,0.44046,0.74613,0.84706,0.0006775,0.0006775,0.0006775
115,12955.5,0.28707,0.41942,0.75403,0.8333,0.67207,0.76975,0.77361,0.73819,0.67756,0.77556,0.78262,0.72399,0.27338,0.44306,0.74319,0.84688,0.000595,0.000595,0.000595
116,13057.2,0.29076,0.41271,0.76518,0.83547,0.63581,0.79192,0.76434,0.72848,0.64181,0.79485,0.7718,0.71508,0.2699,0.43807,0.74426,0.84684,0.0005125,0.0005125,0.0005125
117,13158.7,0.28015,0.40827,0.75372,0.83012,0.64238,0.76959,0.7595,0.72385,0.647,0.77517,0.76662,0.71365,0.2735,0.43556,0.7497,0.84999,0.00043,0.00043,0.00043
118,13259.5,0.28338,0.40659,0.75644,0.82908,0.68528,0.76714,0.77078,0.73405,0.69131,0.77315,0.77857,0.72114,0.27044,0.43549,0.74076,0.84701,0.0003475,0.0003475,0.0003475
119,13360.7,0.2804,0.40322,0.73849,0.83274,0.67075,0.78044,0.77245,0.73617,0.67416,0.78789,0.78042,0.72408,0.26808,0.4318,0.73203,0.84694,0.000265,0.000265,0.000265
120,13475.2,0.27539,0.39498,0.72231,0.82716,0.66905,0.7728,0.77447,0.74011,0.67442,0.77802,0.78251,0.7263,0.26448,0.43765,0.7238,0.84547,0.0001825,0.0001825,0.0001825
